Email,Company,City,Website,Estado,Template,Subject,ProblemLine,Sent
mbeery@e5roofing.com,E-5 Roofing LLC,your area,https://www.facebook.com/profile.php?id=100086318984256&mibextid=kFxxJD,PLATAFORMA GRATUITA,A,Quick question about E-5 Roofing LLC's website,I looked up E-5 Roofing LLC online and noticed your only web presence is a Facebook page — there's no real website where homeowners can find you.,
Help@hhroofs.com,His and Hers Construction,Orlando,http://www.hhroofs.com/,SIN HTTPS (OBSOLETA),B,Noticed something on His and Hers Construction's website,"I came across His and Hers Construction's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
info@captivaroofing.com,Captiva Roofing,Fort Myers,http://www.captivaroofing.com/,SIN HTTPS (OBSOLETA),B,Noticed something on Captiva Roofing's website,"I came across Captiva Roofing's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
info@internationalroofs.com,International Roofing,Fort Myers,http://internationalroofs.com/,SIN HTTPS (OBSOLETA),B,Noticed something on International Roofing's website,"I came across International Roofing's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
info@dolphinroofing.com,Dolphin Roofing - Roof Repair & Replacement,Oakland Park,http://dolphinroofing.com/,SIN HTTPS (OBSOLETA),B,Noticed something on Dolphin Roofing - Roof Repair & Replacement's website,"I came across Dolphin Roofing - Roof Repair & Replacement's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work. It also doesn't adjust to phones, which is where most homeowners search for a roofer these days.",
ronrussellroofing@gmail.com,"Ron Russell Roofing, Inc",Jacksonville,http://www.ronrussellroofing.com/,SIN HTTPS (OBSOLETA),B,"Noticed something on Ron Russell Roofing, Inc's website","I came across Ron Russell Roofing, Inc's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
feeneyroofing@aol.com,John Feeney Roofing,Sarasota,http://johnfeeneyroofing.com/,SIN HTTPS (OBSOLETA),B,Noticed something on John Feeney Roofing's website,"I came across John Feeney Roofing's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
info@roofingservice.com,Hollywood Roofers,Hollywood,http://roofershollywoodfl.com/,SIN HTTPS (OBSOLETA),B,Noticed something on Hollywood Roofers's website,"I came across Hollywood Roofers's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
usaroofingac@gmail.com,USA Roofing and Construction Inc,Hollywood,http://usaroofingandconstructioninc.com/,SIN HTTPS (OBSOLETA),B,Noticed something on USA Roofing and Construction Inc's website,"I came across USA Roofing and Construction Inc's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
info@lovemichigan.net,Victory E&I Roofing And Construction LLC,Hollywood,http://www.victoryroofer.com/,SIN HTTPS (OBSOLETA),B,Noticed something on Victory E&I Roofing And Construction LLC's website,"I came across Victory E&I Roofing And Construction LLC's website and noticed it still loads over an outdated, non-secure connection — Chrome actually shows visitors a ""Not secure"" warning before they even see your work.",
