#,Nombre,Telefono,Direccion,Email oficial,Tipo email,Sitio web,Estado sitio,Calidad web,Observacion
1,Moldar Roofing,+19564437470,"222 Frontage Rd 77/83 Ste. 159, Brownsville, TX 78521",info@moldarroofing.com,Propio (dominio de la empresa),https://moldarroofing.com/,DEAD_ERR,SITIO CAIDO / NO FUNCIONA,El sitio no carga (DEAD_ERR)
2,Reveles Roofing,+12149008930,"5101 Parry Ave, Dallas, TX 75223",info@revelesroofing.com,Propio (dominio de la empresa),http://www.revelesroofing.com/,DEAD_ERR,SITIO CAIDO / NO FUNCIONA,El sitio no carga (DEAD_ERR)
3,"South Texas Metal Roofing, Inc.",+13619374600,"2217 Flour Bluff Dr, Corpus Christi, TX 78418",info@stxmetalroofing.net,Propio (dominio de la empresa),http://www.stxmetalroofing.net/,DEAD_503,SITIO CAIDO / NO FUNCIONA,El sitio no carga (DEAD_503)
4,Diamondback Roofing & Construction,+19402492587,"509 Stesco Ave Suite B, Wichita Falls, TX 76301",diamondbackroofingconstruction@gmail.com,Propio (Gmail/Outlook de la empresa),https://www.facebook.com/p/Diamondback-Roofing-Construction-100090837393993/,ALIVE_200,SOLO REDES SOCIALES,Usa Facebook/redes como sitio web
5,"180 Roofing & Contracting, LLC",+12148144004,"3939 US-80 390 D2, Mesquite, TX 75150",info@180roofing.com,Propio (dominio de la empresa),http://180roofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
6,ABCO Roofing & Construction,+14098352226,"4990 College St, Beaumont, TX 77707",abcoroofingtx@yahoo.com,Propio (Gmail/Outlook de la empresa),http://abcoroofingtx.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
7,All American Siding,+19722542654,"1421 N Loop 12, Irving, TX 75061",info@allamericanroof.net,Propio (dominio de la empresa),http://www.allamericanroof.net/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
8,AR GLOBAL INC. ROOFING & CONSTRUCTION,+19038088002,"4502 Holland Ave Apt 102, Dallas, TX 75219",kason@arglobalroofing.com,Propio (dominio de la empresa),http://arglobalroofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
9,Armored Roofing Co Inc,+19403603672,"4104 Old Iowa Park Rd, Wichita Falls, TX 76305",armored@armoredroofing.com,Propio (dominio de la empresa),http://armoredroofing.com/?utm_campaign=gmb,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
10,"Big ""D"" Roofing Company, Inc.",+19724958000,"131 E Buckingham Rd, Garland, TX 75040",bigdroofingco@gmail.com,Propio (Gmail/Outlook de la empresa),http://bigdroofing.com/contact_us.html,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
11,Blue Eagle Roofing & Construction,+18002178110,"6420 Southwest Blvd #114, Fort Worth, TX 76109",dale@blueeaglegc.com,Propio (dominio de la empresa),http://blueeaglegc.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
12,"Bunton Roofing Company, L.L.C.",+13252747050,"4825 Hill St, Abilene, TX 79602",john@buntonroofing.com,Propio (dominio de la empresa),http://www.buntonroofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
13,CA Roofing,+19568660271,"118 W St Charles St, Brownsville, TX 78520",marketing@caroofingsolutions.com,Propio (dominio de la empresa),http://www.caroofingsolutions.com/,ALIVE_202,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
14,"Caliber Roofing & Construction, LLC.",+19158205483,"8105 Algerita Ct, El Paso, TX 79915",info@caliber-roofing.com,Propio (dominio de la empresa),http://caliber-roofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
15,Camacho Roofing LLC,+19366481174,"937 Waxahachie St, Conroe, TX 77301",camachoroofingtx@gmail.com,Propio (Gmail/Outlook de la empresa),http://www.camachoroofing.org/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
16,CAP Roofing and Construction LLC,+18328020560,"3222 Burke Rd Suit 110 A, Pasadena, TX 77504",info@caproofingconstruction.com,Propio (dominio de la empresa),http://www.caproofingconstruction.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
17,"Carpenter Roofing Company, Inc.",+18067997030,"1925 Buddy Holly Ave, Lubbock, TX 79404",service@carpenterroof.com,Propio (dominio de la empresa),http://carpenterroof.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
18,Cornerstone Roofing Company,+19404475944,"5199 TX-79, Wichita Falls, TX 76310",info@cornerstoneroofingcompanywf.com,Propio (dominio de la empresa),http://www.cornerstoneroofingcompanywf.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
19,Covered Roofing,+12815773518,,info@coveredroofing.net,Propio (dominio de la empresa),http://www.coveredroofing.net/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
20,Denton Roofing,+19729791070,"1501 S Loop 288, Denton, TX 76205",contact@dfwroofingpro.com,Propio (otro dominio),http://dentonroofingpro.com/contact-us/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
21,Done Right Roofing & General Construction INC,+19796903400,"3206 Longmire Dr a50, College Station, TX 77845",info@donerightroofing.net,Propio (dominio de la empresa),http://www.donerightroofing.net/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
22,E&D Premier Roofing & Solar LLC,+14693630187,"3738 Dividend Dr, Garland, TX 75042",splidejs/splide@4.1.4,Propio (otro dominio),http://edpremierroofing.com/?utm_source=gmb&utm_medium=referral,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
23,Ernie Smith & Sons Roofing,+18323365153,"2904 Trimmier Rd A2, Killeen, TX 76542",info@smithandsonsroofing.com,Propio (dominio de la empresa),http://www.smithandsonsroofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
24,"Frisco Roofing, llc",+19725673362,,wes@friscoroofingllc.com,Propio (dominio de la empresa),http://www.friscoroofingllc.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
25,GP Roofing and Remodeling,+14698800937,"765 W Westchester Pkwy #543252, Grand Prairie, TX 75054",info@gproofing.org,Propio (otro dominio),http://gproofingandremodeling.com/,ALIVE_403,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
26,Hartman Roofing,+13256925003,"1565 Dunnam Dr, Abilene, TX 79602",jay@hartmanroofing.com,Propio (dominio de la empresa),http://www.hartmanroofing.com/,ALIVE_200,SIN HTTPS (obsoleto/inseguro),"Sitio sin candado de seguridad, tecnologia vieja"
